x coord,y coord,cond
-10.247998,0.75516784,0
27.249544,-55.660194,1
-1.6224186,-28.854769,2
-2.0944042,-4.986877,0
41.830265,-67.35432,0
30.016842,-58.160763,0
-15.389552,-9.347029,0
0.7852385,7.345006,0
35.36862,-58.384705,0
36.950565,-46.337395,0
-29.245422,-33.07259,0
-32.282185,-28.825861,0
8.802641,5.3590918,0
18.288311,23.64528,2
-29.425701,-29.361216,0
37.572945,-49.332947,0
-25.541227,-25.141016,0
36.100113,-52.668674,0
20.96893,42.85828,0
16.468603,43.41593,0
-4.2099404,1.4958541,0
36.714424,-49.331173,0
45.305798,-48.71818,0
31.030296,-49.229855,0
-27.838118,-31.373217,0
0.40664366,-26.515427,1
16.179981,40.47709,0
22.984726,37.194836,0
-34.35353,-28.476965,0
29.076868,13.510642,2
25.617533,41.012276,0
-31.395279,-28.749561,0
-32.527752,-31.686216,0
36.905384,-46.40382,0
22.46236,34.853825,0
-27.071526,-29.545607,0
1.3539685,5.835066,0
25.849447,35.60248,0
34.355053,-39.38346,0
19.552519,43.45041,0
-13.132927,2.4259412,0
-29.175125,-29.938923,0
-27.028778,-31.985968,0
-30.714573,-32.20232,0
42.48476,-49.59075,0
17.184351,38.14176,0
13.756209,38.633354,0
35.393803,-48.676502,0
38.426502,-48.13874,0
22.526915,36.81187,0
-6.552544,1.5440465,0
7.1497607,-11.415254,0
-13.256815,-1.423783,0
49.735813,-53.45165,0
19.195187,39.93826,0
32.09247,20.449436,2
7.922195,8.704729,0
-30.125847,-29.255093,0
19.875187,39.69549,0
-30.002605,-27.799417,0
17.91057,36.423252,0
22.613062,41.106216,0
-31.683651,-29.75088,0
39.181847,-41.720707,0
-25.432661,-25.960594,0
42.670338,-49.528217,0
27.650864,42.6239,0
-27.509237,-32.525654,0
38.91832,-46.13556,0
-2.1153305,7.6750045,0
38.265663,-49.10666,0
-32.188976,-32.38614,0
-28.02952,-30.65102,0
15.884613,37.729065,0
-25.705814,-32.066498,0
6.159018,6.4714093,0
-26.32841,-26.951265,0
23.400883,39.85256,0
45.371613,-42.794525,0
35.5828,-53.759094,0
17.918718,43.016346,0
-13.438919,0.07881075,0
31.872097,-34.733334,0
27.592716,-59.004063,0
44.78702,-51.250687,0
-24.505552,-29.80434,0
45.64213,-53.03623,0
-35.79443,-32.443043,0
20.566435,38.204296,0
41.411118,-47.432995,0
23.972994,42.17633,0
-26.631693,-31.134804,0
-9.401789,11.27664,0
17.661491,39.12027,0
24.024315,33.888622,0
19.017555,38.455288,0
22.539536,42.870476,0
-33.326454,-29.392664,0
-29.31567,-26.701763,0
3.8999977,3.5362544,0
3.7459319,16.473309,0
20.280989,34.883068,0
12.849008,35.125782,0
